location,bedrooms,bath,size,price
"Kallyanpur,Mirpur,Dhaka",3,3,1372,18
"BlockC,KaderabadHousingSociety,Bosila,Mohammadpur,Dhaka",3,2,750,16
"Sector5,Uttara,Dhaka",2,1,800,16
"Sector5,Uttara,Dhaka",3,3,1400,30
"Sector14,Uttara,Dhaka",3,3,1500,50
"BlockJ,BashundharaR-A,Dhaka",3,3,1250,19
"BlockA,BashundharaR-A,Dhaka",3,4,2100,60
"Sector10,Uttara,Dhaka",3,3,1450,30
"BlockF,azizMoholla,Mohammadpur,Dhaka",2,1,650,12
"Sector13,Uttara,Dhaka",3,4,1500,25
"Sector1,Uttara,Dhaka",2,2,2000,30
"Jigatola,Hazaribag,Dhaka",3,3,1200,20
"ShyamoliHousing,Shekhertek,Mohammadpur,Dhaka",3,3,1350,20
"Avenue3,MirpurDOHS,Mirpur,Dhaka",3,3,2100,35
"Sector13,Uttara,Dhaka",3,4,1500,25
"BlockJ,Baridhara,Dhaka",4,5,2500,70
"Faydabad,DakshinKhan,Dhaka",3,2,800,8.5
"SouthPirerbag,Pirerbag,Mirpur,Dhaka",2,1,600,8.5
"Gulbag,Malibagh,Dhaka",2,2,750,16
"BlockA,Niketan,Dhaka",3,2,1750,1.1
"Shantibag,Malibagh,Dhaka",3,3,1300,22
"Mohammadpur,Dhaka",3,4,2700,60
"Gawair,DakshinKhan,Dhaka",2,2,700,10
"Sector1,Uttara,Dhaka",4,4,2840,60
"Banani,Dhaka",3,4,2400,80
"BlockD,MansurabadHousingSociety,Adabor,Dhaka",3,3,1200,20
"BlockK,BashundharaR-A,Dhaka",3,3,1200,20
"BlockC,BashundharaR-A,Dhaka",3,4,1850,40
"Sector10,Uttara,Dhaka",3,3,1400,22
"BlockK,BashundharaR-A,Dhaka",3,3,1200,20
"PCCultureHousing,Mohammadpur,Dhaka",2,2,750,13
"SouthPirerbag,Pirerbag,Mirpur,Dhaka",2,1,600,8.5
"BaridharaDOHS,Dhaka",3,3,1500,57
"WestShewrapara,Mirpur,Dhaka",2,2,600,12
"Baridhara,Dhaka",3,3,2700,1.1
"Sector11,Uttara,Dhaka",3,4,1500,35
"Badda,Dhaka",2,2,950,20
"Mirpur,Dhaka",2,1,500,7
"RoadNo4,BlockG,BashundharaR-A,Dhaka",3,3,1500,25
"Hatirpool,Dhaka",3,3,1500,35
"BlockL,BashundharaR-A,Dhaka",4,3,1500,17.5
"Sector12,Uttara,Dhaka",3,4,1800,27
"Gulshan2,Gulshan,Dhaka",3,3,2250,1.1
"Banani,Dhaka",6,8,6000,4.5
"MollikaR/A,Section7,Mirpur,Dhaka",3,2,1050,17
"MollikaR/A,Section7,Mirpur,Dhaka",3,2,1050,17
"BlockD,BashundharaR-A,Dhaka",3,3,1776,30
"EastRampura,Rampura,Dhaka",2,2,800,14
"Nikunja1,Nikunja,Dhaka",4,5,6500,3
"Gulshan2,Gulshan,Dhaka",6,6,4500,2.8
"Sector14,Uttara,Dhaka",2,2,1100,20
"Sector3,Uttara,Dhaka",3,4,1700,50
"SouthPirerbag,Pirerbag,Mirpur,Dhaka",1,1,600,7.5
"Sector11,Uttara,Dhaka",4,4,1500,40
"Sector11,Uttara,Dhaka",4,4,1500,40
"Sector11,Uttara,Dhaka",4,3,1500,40
"Sector12,Uttara,Dhaka",2,2,800,13.5
"BlockB,BashundharaR-A,Dhaka",4,5,2100,67.5
"MohammadiHousingLTD.,Mohammadpur,Dhaka",3,3,1600,27
"Dhanmondi,Dhaka",3,4,2200,55
"BlockB,BashundharaR-A,Dhaka",3,4,1950,35
"BlockC,NobodoyHousingSociety,Mohammadpur,Dhaka",2,2,700,13
"Gulshan1,Gulshan,Dhaka",4,4,2600,85
"Malibagh,Dhaka",2,2,700,20
"BlockH,BashundharaR-A,Dhaka",2,2,950,18
"BlockD,BashundharaR-A,Dhaka",4,4,2400,75
"BlockJ,BashundharaR-A,Dhaka",3,4,1970,29
"BlockG,BashundharaR-A,Dhaka",3,3,1500,30
"BlockG,BashundharaR-A,Dhaka",3,3,1600,25
"BlockD,BashundharaR-A,Dhaka",3,3,1800,30
"Banani,Dhaka",3,3,1600,45
"Tejkunipara,Tejgaon,Dhaka",3,3,1200,30
"Dhanmondi,Dhaka",3,3,1778,45
"Sector9,Uttara,Dhaka",2,2,800,18
"BlockD,BashundharaR-A,Dhaka",3,3,1350,25
"Taltola,Agargaon,Dhaka",3,3,1100,20
"BlockD,BashundharaR-A,Dhaka",3,3,1450,30
"Sector5,Uttara,Dhaka",2,1,650,15
"BlockC,Section2,Mirpur,Dhaka",3,4,1612,25
"Gulbag,Malibagh,Dhaka",2,1,600,14
"Sector10,Uttara,Dhaka",3,4,1710,30
"MiddleMonipur,Mirpur,Dhaka",1,1,400,6.5
"Gulshan2,Gulshan,Dhaka",2,4,3000,1.6
"BlockI,BashundharaR-A,Dhaka",3,4,2250,30
"Sector13,Uttara,Dhaka",4,4,2015,45
"WestDhanmondiandShangkar,Dhanmondi,Dhaka",3,2,1100,18
"Sector13,Uttara,Dhaka",4,4,2600,65
"Sector11,Uttara,Dhaka",3,4,1480,35
"Baridhara,Dhaka",3,3,2500,1.3
"Banani,Dhaka",3,4,2200,55
"Sector12,Uttara,Dhaka",2,1,600,11
"Sector3,Uttara,Dhaka",3,4,2250,65
"SouthMonipur,Mirpur,Dhaka",2,2,850,11
"BlockC,BashundharaR-A,Dhaka",3,3,2500,45
"Sector11,Uttara,Dhaka",4,4,1500,40
"Jamtola,EastRampura,Rampura,Dhaka",2,2,700,11
"Sector4,Uttara,Dhaka",3,4,1500,35
"Sector13,Uttara,Dhaka",3,3,1500,27
"Sector11,Uttara,Dhaka",4,3,1500,40
"BlockH,BashundharaR-A,Dhaka",3,4,2045,1
"Malibagh,Dhaka",2,2,800,17
"Eskaton,Dhaka",3,3,1600,40
"BlockD,BashundharaR-A,Dhaka",3,3,1250,21
"BlockD,BashundharaR-A,Dhaka",4,4,2800,50
"Sector10,Uttara,Dhaka",2,2,800,16
"BlockC,BashundharaR-A,Dhaka",3,3,1700,30
"Nikunja2,Nikunja,Dhaka",3,3,1500,45
"UttarBadda,Badda,Dhaka",3,3,1250,22
"Malibagh,Dhaka",2,2,700,20
"Dhanmondi,Dhaka",3,3,1500,30
"BlockB,BashundharaR-A,Dhaka",3,3,1400,30
"Nikunja2,Nikunja,Dhaka",3,3,1500,28
"Uttara,Dhaka",3,3,900,30
"Banasree,Dhaka",3,3,1200,20
"BlockD,BashundharaR-A,Dhaka",3,5,2800,50
"Sector4,Uttara,Dhaka",3,4,1530,30
"Sector6,Uttara,Dhaka",4,4,2900,80
"BlockK,Baridhara,Dhaka",4,4,2800,1.2
"Gulshan2,Gulshan,Dhaka",3,4,2350,80
"Gulshan1,Gulshan,Dhaka",3,3,2800,85
"BaitulAmanHousingSociety,Adabor,Dhaka",3,3,1200,20
"BaitulAmanHousingSociety,Adabor,Dhaka",3,3,1550,30
"Cantonment,Dhaka",3,4,1350,22
"BlockA,NobodoyHousingSociety,Mohammadpur,Dhaka",3,2,1000,16
"Lalmatia,Dhaka",3,3,1100,35
"Uttara,Dhaka",3,3,1800,30
"Banani,Dhaka",3,3,2700,1.4
"BlockA,BashundharaR-A,Dhaka",3,3,1450,1.2
"Mohammadpur,Dhaka",3,3,2700,60
"BlockA,ChadUddanHousing,Mohammadpur,Dhaka",3,2,950,15
"BlockG,BashundharaR-A,Dhaka",3,3,1500,50
"Sector10,Uttara,Dhaka",3,2,1050,16
"BlockH,Banasree,Dhaka",4,4,1550,30
"BlockD,BashundharaR-A,Dhaka",3,3,1250,30
"Sector10,Uttara,Dhaka",3,3,1600,20
"Baridhara,Dhaka",4,4,2500,1.6
"Dhanmondi,Dhaka",3,3,1200,33
"Monipuripara,Tejgaon,Dhaka",2,2,900,18
"Sector12,Uttara,Dhaka",2,2,850,16
"BlockC,BashundharaR-A,Dhaka",3,4,2600,42
"Kalabagan,Dhaka",3,3,2300,25
"Sector4,Uttara,Dhaka",3,3,1300,28
